tokens_generated,total_time_seconds,tokens_per_second,peak_vram_mb,kv_cache_method,perplexity,sample_id,dataset,baseline,window_size,max_new_tokens,exact_match,f1
64,2.054128885269165,31.15675966535746,316.27001953125,full,9.607659339904785,narrativeqa_40,narrativeqa,full,N/A,64,0.0,0.10256410256410256
64,2.054185628890991,31.15589900925953,316.82080078125,full,16.672624588012695,narrativeqa_41,narrativeqa,full,N/A,64,0.0,0.09523809523809523
64,2.051844835281372,31.191442403208622,316.27001953125,full,10.324836730957031,narrativeqa_42,narrativeqa,full,N/A,64,0.0,0.0588235294117647
64,2.0528459548950195,31.17623114749148,316.47021484375,full,9.150285720825195,narrativeqa_43,narrativeqa,full,N/A,64,0.0,0.0
64,2.0565032958984375,31.12078649601187,316.62060546875,full,4.555775165557861,narrativeqa_44,narrativeqa,full,N/A,64,0.0,0.0784313725490196
64,2.055880069732666,31.13022055237014,316.67041015625,full,20.384033203125,narrativeqa_45,narrativeqa,full,N/A,64,0.0,0.24489795918367344
64,2.0546092987060547,31.149474520681725,316.31982421875,full,4.872226238250732,narrativeqa_46,narrativeqa,full,N/A,64,0.0,0.08333333333333333
23,0.7638983726501465,30.10871710618716,316.47021484375,full,88.26678466796875,narrativeqa_47,narrativeqa,full,N/A,64,0.0,0.16666666666666669
64,2.055682420730591,31.1332136494383,316.72021484375,full,5.7314934730529785,narrativeqa_48,narrativeqa,full,N/A,64,0.0,0.05882352941176471
64,2.0546875,31.14828897338403,316.62060546875,full,19.102943420410156,narrativeqa_49,narrativeqa,full,N/A,64,0.0,0.1621621621621622
64,2.0555989742279053,31.134477494103034,316.67041015625,full,15.909699440002441,narrativeqa_50,narrativeqa,full,N/A,64,0.0,0.05555555555555556
64,2.0527408123016357,31.17782801241234,316.72021484375,full,13.658495903015137,narrativeqa_51,narrativeqa,full,N/A,64,0.0,0.12000000000000001
64,2.0555763244628906,31.134820555360697,316.42041015625,full,7.9850873947143555,narrativeqa_52,narrativeqa,full,N/A,64,0.0,0.08333333333333333
64,2.0530359745025635,31.173345618313757,316.11962890625,full,8.487126350402832,narrativeqa_53,narrativeqa,full,N/A,64,0.0,0.0
64,2.054178476333618,31.156007492703274,316.27001953125,full,6.692692756652832,narrativeqa_54,narrativeqa,full,N/A,64,0.0,0.07692307692307693
64,2.0522313117980957,31.185568425971127,316.82080078125,full,27.279869079589844,narrativeqa_55,narrativeqa,full,N/A,64,0.0,0.1777777777777778
64,2.0559799671173096,31.12870797556186,316.36962890625,full,14.251718521118164,narrativeqa_56,narrativeqa,full,N/A,64,0.0,0.05
64,2.0557141304016113,31.132733415368772,316.36962890625,full,5.704714775085449,narrativeqa_57,narrativeqa,full,N/A,64,0.0,0.12121212121212122
28,0.929633378982544,30.119400435734317,317.423828125,full,62.09535217285156,narrativeqa_58,narrativeqa,full,N/A,64,0.0,0.19999999999999998
64,2.059668779373169,31.07295728368398,317.4736328125,full,9.521066665649414,narrativeqa_59,narrativeqa,full,N/A,64,0.0,0.20512820512820512
64,2.063141107559204,31.020660567281848,317.5234375,full,10.106447219848633,narrativeqa_60,narrativeqa,full,N/A,64,0.0,0.10526315789473684
64,2.06166410446167,31.042884173758907,317.4736328125,full,10.228804588317871,narrativeqa_61,narrativeqa,full,N/A,64,0.0,0.18604651162790695
35,1.1476223468780518,30.49783763379362,317.423828125,full,22.465667724609375,narrativeqa_62,narrativeqa,full,N/A,64,0.0,0.2608695652173913
64,2.0580015182495117,31.09813060509154,317.5732421875,full,4.605776786804199,narrativeqa_63,narrativeqa,full,N/A,64,0.0,0.14634146341463414
33,1.0869677066802979,30.359687594385964,317.423828125,full,61.28264236450195,narrativeqa_64,narrativeqa,full,N/A,64,0.0,0.17391304347826084
64,2.0595316886901855,31.07502562424884,317.2236328125,full,12.761094093322754,narrativeqa_65,narrativeqa,full,N/A,64,0.0,0.2285714285714286
64,2.064319372177124,31.002954708748735,317.4736328125,full,11.643570899963379,narrativeqa_66,narrativeqa,full,N/A,64,0.0,0.12121212121212122
14,0.48871541023254395,28.646528648111225,317.423828125,full,156.23287963867188,narrativeqa_67,narrativeqa,full,N/A,64,0.0,0.2222222222222222
28,0.9292335510253906,30.13236012529096,317.423828125,full,62.09535217285156,narrativeqa_68,narrativeqa,full,N/A,64,0.0,0.19999999999999998
16,0.5514795780181885,29.01286038097371,317.82421875,full,196.72474670410156,narrativeqa_69,narrativeqa,full,N/A,64,0.0,0.19999999999999998
